Title,Authors,Journal,Publication Date
On value compatibility: reflections on the ethical framework for pandemic healthcare distribution.,Wang Y,Med Health Care Philos,2025 Mar 7
Dual decision-making routes for COVID-19 and influenza vaccines uptake in parents: A mixed-methods study.,Yuan J; Dong M; Ip DKM; So HC; Liao Q,Br J Health Psychol,2025 May
"Effectiveness of mass vaccination for prevention of hospitalization, severe disease and death due to SARS-CoV-2 omicron Ba.2 variant; A case-population study.",Shamsollahi HR; Younesian S; Nikfarjam A; Nasiri Z; Yunesian M,Heliyon,2025 Feb 28
Limitations of neutralizing antibody titers in COVID-19 vaccine efficacy trials and a call for additional correlates of protection.,Hwang YH; Min DH; Beom Park W,Hum Vaccin Immunother,2025 Dec
Hesitancy towards COVID-19 booster vaccine among healthcare workers in Bangladesh.,Shoshi HR; Basher AK; Pyash AS; Hossain MK; Chowdhury F; Hassan MZ,BMC Health Serv Res,2025 Mar 6
Cracking the code of a correlate of protection against SARS-CoV-2 breakthrough infection in cancer patients.,Debie Y; Garcia-Fogeda I; Willem L; Roelant E; Verbruggen L; Vanhoutte G; Croes L; Vulsteke C; Demey W; Lybaert W; Hanssens M; Bols A; Van Ongeval J; De Becker A; Jansens H; Goossens ME; Janssens A; Prenen H; Anguille S; Peeters M; van Dam PA; Hens N; Abrams S; Vandamme T,Sci Rep,2025 Mar 6
Sinopharm COVID-19 Vaccination during Pregnancy Triggers Thyroid Stimulating Hormone Levels in Newborns.,Vatanparast A; Daghigh F; Akbari H,Am J Perinatol,2025 Mar 6
Developmental and reproductive toxicity (DART) study of a novel SARS-CoV-2 tetravalent recombinant protein vaccine (SCTV01E) in rats.,Zhang X; Jia J; Chen G; Meng D; Ma J; Wang H; Zhou S; Ma L; Qian Q; Liu X; Li X; Xie L,Reprod Toxicol,2025 Mar 4
Durability of COVID-19 vaccine and infection induced immunity: A systematic review and meta-regression analysis.,Moore M; Anderson L; Schiffer JT; Matrajt L; Dimitrov D,Vaccine,2025 Mar 5
Heart-breaking tumours: a case series of malignant pericardial effusion.,Wan Muhamad Hatta SS; Mirza AR; Sunni N; Bashir A,Eur Heart J Case Rep,2025 Mar
